序号,提交答卷时间,1、如果您在主观题中留下了精彩见解，并希望在最终报告中获得署名，请留下您的常用网名/代号（留空则视为自愿以‘匿名受访者’身份参与开源共享）：[___________],2、你的学校是全称是？,3、(1)你的入学年份及就读专业是什么？___,3、(2)年入学，专业为___,3、(3)，你的性別是___？,4、你的培养层次是？,5、学校地理位置和实际分配校区情况—你所就读的学校的办学地点是,5、你实际被分配的校区是,6、学校转专业容易吗？（可选）,7、导师管理风格与组内学术氛围如何？,8、实验室与工位硬件条件如何？,9、研究生的补助与福利待遇大概在什么水平？,10、是否存在“异地研究院/分院/校外基地”联培情况？生存现状如何？（没有请跳过）,11、宿舍的床位结构是怎样的？,12、教室和宿舍有空调吗？,13、宿舍有独立卫浴吗？,14、每天会断电断网吗？,15、宿舍的限电功率是多少？会没收违禁电器吗 / 查违章电器严不严？宿舍允许挂隐私床帘 / 遮光窗帘吗？（可选）,16、大一刚入学允许带电脑吗？,17、晚上宿舍会查寝或封寝吗？,18、食堂的价格与卫生质量如何？（可选）,19、校园网的收费和网络质量如何？带宽多大 ？（不用校园网则跳过）,20、校园内用什么卡消费？,21、学校的快递收发政策怎么样？（可选）,22、校园内超市的物价和服务怎么样？,23、学校允许点外卖吗？,24、校园内可以骑私家电瓶车吗？,25、校内共享单车的数量与种类如何？,26、学校周边的交通便利度如何？,27、日常考勤管理严格吗？,28、每学期跑步打卡的要求是多少公里？（可选，没有请跳过）,29、寒暑假一般放多久？有小学期吗？有的话是多长？,30、自习资源和图书馆体验如何？,31、🤔💬 自由补充
307,2026/9/18 19:20:55,星极,湖南师范大学,2026-09,物理学,男,本科〖大一〗,湖南-长沙市-岳麓区,南院,一般（有绩点或人数限制）,导师管理宽松，自由度高┋组内内卷严重或压力较大,条件较差（抢工位、设备老旧、资源紧张等）,(跳过),办事、报销、管理较麻烦,上床下桌〖上床下桌和上下铺一半一半，物理学大概率上下铺（四人间六人间七人间）〗┋上下铺┋四人间┋六人间┋八人间或者其他（如独立单间等）〖四人间，五人间，六人间，七人间，九人间都有〗,教室有┋宿舍有,有独卫〖也是差不多独卫公卫一半一半，公卫就在本层〗┋有独浴〖也是差不多独浴公浴一半一半，公卫就在本层〗,(空),700W，实测南院两台笔记本，一台台式，还边使用一个800W的电吹风没事，但是别的寝室用更大功率的电吹风就会跳闸。,允许带电脑,只封寝不查寝〖23点之后刷卡也不让进了，要跟阿姨说，偶尔查寝。〗,一般吧，但是因为在城里外面的店子随便吃，南院四栋的入口甚至在路边上的店面里,垃圾，合着校园网（49/月，包括了手机卡）宣传时候说的20兆是小写的啊，实际网速就不到2.5MB/s（限制两个设备），下个游戏下一整天，都不够我看1080P视频的（但是延迟还行不会断联），神了。只办手机卡就是29/月（180GB），手机卡网速好多了，但是感觉跟运营商故意的一样，每1-2分钟就会断连几秒，延迟在90ms左右，用流量打游戏的有福了，推荐不打竞技游戏的就不要办开校园网，真的垃圾，在这个家里千兆网普及的时代还有20mbps的网速没谁了,其他〖洗澡强制要实体校园卡，其它都可以用微信支付宝，门禁也用的实体校园卡，但可以nfc写到手机里刷〗,南院有两个菜鸟，一个顺丰（离得很近，100m之内），大部分快递都能发。晚上会关门,物价正常（与校外基本持平）┋种类多,允许，外卖员可以送至宿舍楼下,可以自由骑行和充电,数量较少，早高峰基本靠抢,极好，校门口或步行距离内有地铁站,有强制早自习〖大一每星期有几天有〗┋有强制晚自习〖大一每星期有几天有〗,还不清楚,正常放，暑假2个月，寒假1个月。没有小学期,有，南院的在食堂上面,早有耳闻行政效率低下，体验之后确实如此
308,2026/9/19 0:39:00,Dr.隔壁汤某人,炎黄职业技术学院,2025-09,市场营销电商,男,大专〖在读大二〗,江苏-淮安市-涟水县,主校区,一般（有绩点或人数限制）,(跳过),(跳过),(跳过),(跳过),上床下桌〖6  8人间不确定4人间是上床下桌〗┋上下铺┋四人间〖是上床下桌〗┋六人间┋八人间,教室有〖有些教室没有有些教室有〗┋宿舍有,有独卫┋有独浴,(空),默许你可以用但是不要被抓到   床帘无限制,允许带电脑,既严格查寝又按时封寝〖一般89点开始查人数查到有人不在直接说回家（仅限于五六日）/请假/买东西还没回来〗,(空),39一个月的校园卡 网速还行（就是老是跳认证很烦）人多的时候会卡高峰期异一过还是很稳定的,微信或支付宝直刷,每天上午10点学校门口会有辆顺丰的三轮车收发快递     拿快递的话快递点离校外1 2 公里这样（有两个快递点）,物价正常（与校外基本持平）┋种类多,可以点，但只能去校门口/外卖柜/指定地点拿〖在校门口〗,可以自由骑行和充电〖学校门口不远处就能看到集中充电/停车点（也有汽车停车场）〗,校内完全没有共享单车,偏僻，进城单程需要一小时以上〖这边除了有两个吾悦广场基本没什么好逛的地点了一般打车/门口的公交站去汽车站花8块坐淮涟专线直达淮安市区〗,有强制晚自习〖大一有大二没有〗,无,2个月多一点这样,无（图书馆不记得有没有）,学校里的小诊所别去那边给你治病的好像连证都没有
309,2026/9/19 1:56:57,匿名受访者,南宁职业技术大学,2026-09,现代物流管理,（不愿透露）,本科〖1〗,广西-南宁市-西乡塘区,主校区,(空),(跳过),(跳过),(跳过),(跳过),上床下桌〖专科宿舍为十二人间，部分宿舍为六人间，本科八人间上床下桌〗┋八人间,教室有〖教室空调不凉〗┋宿舍有,有独卫┋有独浴,断电〖11〗,800w（含800），会查，严不严不清楚，允许,允许带电脑,偶尔查寝但不封寝,还可以,还行,微信或支付宝直刷,离宿舍不算远，一般晚上十点左右下班,物价偏高（比校外贵不少）┋种类少,可以点，但只能去校门口/外卖柜/指定地点拿〖校门口，不算特别远〗,可以骑，但限制很多或需要办牌照,数量较少，早高峰基本靠抢,一般，需要坐公交车转乘地铁〖校门口有地铁，到市中心几十分钟就可以了〗,有强制早自习┋有强制晚自习,(空),我是大一，还不知道,还可以，人挺少，但是晚上关门快,(空)
310,2026/9/19 16:06:25,繁花似梦,贵州生态能源职业学院,2026-09,机电一体化,（不愿透露）,大专,贵州-贵阳市-云岩区,主校区,(空),(跳过),(跳过),(跳过),(跳过),六人间〖三连桌〗,教室有〖基本没有〗,有独卫┋有独浴,断电〖周日到周四晚上十一点半〗,(空),允许带电脑,只封寝不查寝,(空),39一个月，300m,微信或支付宝直刷,快递点在一号公寓楼下,物价偏高（比校外贵不少）┋种类正常（与校外基本持平）,可以点，但只能去校门口/外卖柜/指定地点拿,严禁学生骑行和停放私家电瓶车,校内完全没有共享单车,一般，需要坐公交车转乘地铁,有强制晚自习〖一个半小时，大一〗,(空),正常放,还好，没多少人，位置比较隐蔽,放志愿最后一位就对了，天天满课水课多，晚上没课强制去教室
311,2026/9/19 17:04:16,Copper0SO4,杭州电子科技大学,2026-09,计算机科学与技术,男,本科〖大一〗,浙江-杭州市-钱塘区,主校区,一般（有绩点或人数限制）,(跳过),(跳过),(跳过),(跳过),八人间或者其他（如独立单间等）〖五人间〗,教室有┋宿舍有〖需要租，四年1700左右〗,有独浴,(空),允许挂，违规电器会查，但不频繁,允许带电脑,只封寝不查寝,好像是有六个食堂,"这个看运营商，基本是39/49元带宽带，宽带速率基本是500Mbps, 也有300Mbps的",实体校园卡┋微信或支付宝直刷,快递点就在生活区北门出来的，外面的店，因为在学校外面的驿站，学校也无权管理就是了，事实上是完全允许，这么理解就好,物价偏高（比校外贵不少）┋种类正常（与校外基本持平）,可以点，但只能去校门口/外卖柜/指定地点拿〖很近〗,可以骑，但限制很多或需要办牌照,车很多且种类丰富，很好骑,极好，校门口或步行距离内有地铁站,有强制晚自习〖这里一定要我选一个！😭大一有晚自习，但不严格〗,不知道，不允许用车和抄近道,比较正常的时间安排,座位似乎需要预约,不要在杭州电子科技大学下沙校区寻找五号教学楼，你只能找到草坪！！以及为什么宿舍2F是3楼
312,2026/9/19 21:32:03,匿名受访者,深圳城市职业学院,2026-09,宝玉石鉴定与加工,（不愿透露）,大专〖大一〗,广东-深圳市-龙岗区,主校区,一般（有绩点或人数限制）,(跳过),(跳过),(跳过),(跳过),上床下桌┋八人间或者其他（如独立单间等）〖五人间，与隔壁寝室共享一个阳台（女生宿舍环境是这样的）〗,教室有┋宿舍有〖五人间，与隔壁宿舍未完全隔断所以会有一个大空间有两个空调的情况。〗,有独卫〖独卫 但是比较小〗┋有独浴,(空),(空),允许带电脑,既严格查寝又按时封寝〖晚上十点半查寝，女生这边比较严十点钟就查。晚归会扣分多了会被退宿〗,米饭类平均15 有汤粉汤面饺子之类的选择。只是学校食堂不提供汤,(空),微信或支付宝直刷,都能发，快递点有校外的离宿舍步行十五分钟这样。,物价偏高（比校外贵不少）┋种类多,允许，外卖员可以送至宿舍楼下,严禁学生骑行和停放私家电瓶车,校内完全没有共享单车,一般，需要坐公交车转乘地铁〖从学校附近公交站坐到最近的地铁站算上等车需要半个小时起步〗,有晨跑/早起签到/早操/升旗要求〖目前无早晚自习要求，但开会有签到要求〗,无校园跑,无小学期，放假通知发的特别晚。寒暑假目前还没打听到,无 图书馆工作日早上八点开晚上九点 周末就是早上八点半至晚上九点,"喜欢爬山的朋友们可以来报考。每天光走都要走十五分钟还不算爬楼梯。校内小巴的班次不多要等很久。
以及宿舍规矩（女生宿舍）特别多，要求叠被子、垃圾桶清空、桌子上不能放东西、柜子里的东西必须收纳整齐、床帘在查寝时必须拉开。门禁虽是十点半但实际上十点就查寝。想要重温高三生活的朋友们可以来这里。"
313,2026/9/19 23:39:18,匿名受访者,广西艺术学院,2026-09,文化产业管理,（不愿透露）,本科,广西-南宁市-西乡塘区,主校区,(空),(跳过),(跳过),(跳过),(跳过),上床下桌,教室有〖体育馆没有，上课在那里跑步会热飞〗┋宿舍有,有独卫┋有独浴,(空),800w，不过800w有时候也会跳闸，最好买750w的吹风机,允许带电脑,偶尔查寝但不封寝,可以接受，一碗粉不加料基本10块钱以下,59有的觉得贵有的觉得便宜，网络还行吧，抢课就别用校园网了会很卡,实体校园卡┋微信或支付宝直刷,(空),种类多┋种类正常（与校外基本持平）,可以点，但只能去校门口/外卖柜/指定地点拿,可以自由骑行和充电〖如果是新电瓶进学校会难，建议在校内收二手〗,数量较少，早高峰基本靠抢,一般，需要坐公交车转乘地铁〖骑电瓶十几分钟到地铁站也可以，去火车东站得快一小时〗,有晨跑/早起签到/早操/升旗要求〖见过升旗但好像是每个学院轮流？〗,男生每次2公里女生每次1.5公里一周最多两次一学期跑二十多次，跑一半要刷脸，只给在操场跑,寒假暑假放假时间一样长都是快两个月,没去过但听说空调很冷,大一水课特别多，而且教学楼离体育馆特别远，有电车的就骑电车没电车就抢共享有体力的就快走或跑步，不然课间十分钟真的容易迟到。上课经常要挤电梯，而且有的晚课是直接从6点半上到9点40的。水费特别贵洗一次5毛钱打底，如果要洗头得一块两块了。而且只有一个洗澡间，六个人排队还是有点久的。用公共洗衣机时建议丢片消毒片或消毒水或者用桶自洁，亲眼见到有人把一堆味道令人作呕的衣服裤子丢进洗衣机里面。
314,2026/9/19 23:54:39,匿名受访者,安徽理工大学,2026-09,环境工程,（不愿透露）,本科〖大一〗,安徽-淮南市-田家庵区,主校区,(空),(跳过),(跳过),(跳过),(跳过),上床下桌,教室有┋宿舍有〖在一个小程序里面交电费〗,完全没有〖仁苑的话一楼有层浴〗,(空),说是这么说但是不限,允许带电脑,只封寝不查寝〖和宿管求求情就行〗,中规中矩,一般还行，但比如开学典礼/迎新晚会这样的人一多，你有没有校园网，你用不用流量都卡，宿舍还可以,实体校园卡┋手机虚拟校园码,又专门的驿站和快递柜,物价正常（与校外基本持平）┋种类正常（与校外基本持平）,允许，外卖员可以送至宿舍楼下,严禁学生骑行和停放私家电瓶车,数量较少，早高峰基本靠抢,偏僻，进城单程需要一小时以上〖进城最少要骑车！！！我跑着葱北门倒商业街要三四公里，路上还很少行人道〗,有强制晚自习〖大一有，军训的时候还有无聊的启航教育，收手机〗,公里的话我是新生不知道，但是刷的话听学长学姐说抓但程度中规中矩，但是抓不到没事，抓到保研啥的没了,正常放，稍短，可以看到关注校历,不清楚,军训方面事情特别多，身体不好的建议提前拿好病历请假，你假条甚至要自己打印还不给说咋请假，然后教官特别严都，你🍐禁止学生在宿舍休息
315,2026/9/20 11:45:51,匿名受访者,佛山大学,2026-09,数学与应用数学,（不愿透露）,本科〖大一〗,广东-佛山市-禅城区,江湾校区,(空),(跳过),(跳过),(跳过),(跳过),上下铺┋六人间┋八人间,教室有┋宿舍有,有独卫┋有独浴,断网〖0〗,(空),允许带电脑,不管（无封寝无查寝）,(空),(空),微信或支付宝直刷,(空),物价偏高（比校外贵不少）┋种类正常（与校外基本持平）,可以点，但只能去校门口/外卖柜/指定地点拿,可以骑，但限制很多或需要办牌照,校内完全没有共享单车,一般，需要坐公交车转乘地铁〖半小时〗,有强制晚自习〖大一〗,(空),不知道,没去过,此校区基础设施简陋 入学时军训时间苛刻 如经常六点集合 有时四点起床 下午基本很少有休息时间 晚上九点才能解散，不建议报考这个学校
316,2026/9/20 16:03:25,匿名受访者,天津工业大学,2024-09,化学工程与工艺,（女）,本科〖大三〗,天津-天津市-西青区,主校区,一般（有绩点或人数限制）,(跳过),(跳过),(跳过),(跳过),上床下桌┋四人间,教室有〖但是不凉快〗┋宿舍有〖要租〗,完全没有〖在楼内，但是很不方便。15:00-23:00供应热水〗,(空),限电但是查得不严，不过很容易断电用大功率,允许带电脑,只封寝不查寝〖能回，登记就行，管得很松〗,有清真食堂，味道中规中矩，但是学校很多商贩，有肯德基麦当劳瑞幸蜜雪茶百道711罗森沪上阿姨幸运咖....,校园网在公教图书馆免费，有额度但是我不清楚，宿舍需要另外买，流量够用就不需要,微信或支付宝直刷,可以在宿舍楼下寄快递，但是拿快递对东苑很不友好，有点远,物价偏高（比校外贵不少）┋种类正常（与校外基本持平）,允许，外卖员可以送至宿舍楼下,可以骑，但限制很多或需要办牌照〖宿舍楼下可以充电〗,车很多且种类丰富，很好骑,极好，校门口或步行距离内有地铁站,有强制晚自习〖大一有的专业有，但是很松〗,大一大二女生60男生80，不好刷,固定秋季学期20周上课，春季学期18周，没有小学期，寒暑假的话就正常,图书馆不需要抢，预约制位置很多，东苑没有24h自习室,(空)
